AssessmentID;OrganisationName;Assessment;YearOfPublication;BoundaryOfAssessment;Access
716;City of Beaverton, OR;This document is confidential;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the area of the Joint Water Commission - a regional commission that includes the City of Beaverton and adjacent portions of unincorporated Washington County.;public
717;City of Mountain View, CA;Shoreline Sea Level Rise Study Report.pdf, Silicon Valley 2.0 Climate Adaptation Guidebook.pdf, TM - CMV Sea Level Rise CIP - 2022 Update.pdf;2015;"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: SV 2.0 assessment includes all of Santa Clara County	 MV sea level rise vulnerability study is focused on the Shoreline Regional Park area - the area in Mountain View subject to sea level rise.";public
718;Tagum City;TAGUM CITY PROMISE FIN.pdf;2023;Same - covers entire jurisdiction and nothing else;public
719;Kansas City, MO;The CRVA was completed as a Story Map and can be accessed here: https://storymaps.arcgis.com/stories/9a12587b5b0e418ba6dbb8aa5e0575a7 The CRVA methodology document is here: https://www.kcmo.gov/home/showpublisheddocument/8142/637829540632230000;2022;Same - covers entire jurisdiction and nothing else;public
720;Durham County Council;https://www.gov.uk/government/publications/third-national-adaptation-programme-nap3;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: UK wide;public
721;City of Little Rock, AR;https://pulaskicounty.net/wp-content/uploads/2021/08/APPROVED-Pulaski-Co-Mitigation-Plan-2021.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Collaborative County-wide Assessment;public
722;Prefeitura Municipal de Barueri;Cambio Climatico en Sao Paulo-web.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O estudo foi feito para os municÃ­pios integrantes do CIOESTE - ConsÃ³rcio Intermunicipal da RegiÃ£o Oeste Metropolitana de SÃ£o Paulo, do qual o municÃ­pio de Barueri Ã© integrante,;public
723;Municipalidad de Independencia;Herramienta de AnÃ¡lisis Integrado_Riesgo ClimÃ¡tico y Riesgo de Desastres.xlsx;2023;Same - covers entire jurisdiction and nothing else;public
724;City of Dar es Salaam;G02388.pdf;2007;Same - covers entire jurisdiction and nothing else;public
725;Blackburn with Darwen Borough Council;https://blackburn-darwen.org.uk/wp-content/uploads/Climate-Change-Adaptation.pdf;2012;Same - covers entire jurisdiction and nothing else;public
726;Glasgow City Council;https://www.crc-assessment.org.uk/;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The is a regional partnership which covers Glasgow and the Clyde Valley Area, including seven other local authorities.;public
727;City of Helsingborg;Risk_sarbarhetskarta_A1.pdf;2010;Same - covers entire jurisdiction and nothing else;public
728;City of Stockholm;http://insynsverige.se/documentHandler.ashx?did=1841880;2016;Same - covers entire jurisdiction and nothing else;public
729;City of Turku;Turku Climate Plan 2029.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Several climate change risks affect larger area than just the city area. Therefore the risk assessment boundary was set to cover the whole region. In addition several adaptation actions are undertaken in collaboration with regional actors.;public
730;Seberang Perai Municipal Council;https://www.mbsp.gov.my/index.php/en/low-carbon-city;2023;Same - covers entire jurisdiction and nothing else;public
731;Municipality of Fortaleza;Indice-de-Vulnerabilidades-Mudanas-Climticas.pdf;2020;Same - covers entire jurisdiction and nothing else;public
732;Can Tho City;https://drive.google.com/file/d/1LVpuN1O-5RNlMSM9PxXdxnL2rqFCr5-2/view?usp=sharing;2020;Same - covers entire jurisdiction and nothing else;public
733;Hvidovre Municipality;hvidovre_risikostyringsplan_vedtaget_28092021.pdf;2021;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions;public
734;City of Bexley, OH;chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.franklincountyohhmp.com/wp-content/uploads/2023/07/DRAFT-Franklin-County-HMP-Volume-II_071023.pdf;2023;Same - covers entire jurisdiction and nothing else;public
735;Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA);http://jira.org.mx/imagenes/trasparencia/Plan%20Accion%20Climatica%20Regional.pdf;2015;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
736;The Local Government of Quezon City;Quezon-City-CDRA-Report.pdf;2022;Same - covers entire jurisdiction and nothing else;public
737;City of Cincinnati, OH;https://www.cincinnati-oh.gov/oes/equity/climate-equity-indicators/;2021;Same - covers entire jurisdiction and nothing else;public
738;GÃ¤llivare Municipality;Risk och sÃ¥rbarhetsanalys GÃ¤llivare kommun 2019-2022.pdf;2019;Same - covers entire jurisdiction and nothing else;public
739;Glasgow City Council;https://www.glasgow.gov.uk/councillorsandcommittees/viewSelectedDocument.asp?c=P62AFQDNZLZLDNDNZ3;2022;Same - covers entire jurisdiction and nothing else;public
740;Municipalidad Distrital de Chimbote;Plan de AcciÃ³n Climatica de la Municipalidad Provincial del Santa - EvaluaciÃ³n de Riesgos;2023;Smaller - covers only part of the jurisdiction, please explain exclusions: La evaluaciÃ³n se ha hecho del sector urbano (ciudad de Chimbote);public
741;JÃ¶nkÃ¶ping Municipality;https://catalog.lansstyrelsen.se/store/25/resource/7;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: It covers the geographical area of JÃ¶nkÃ¶ping County;public
742;City of San Francisco, CA;https://sfplanning.org/project/environmental-justice-framework-and-general-plan-policies#about;2023;Same - covers entire jurisdiction and nothing else;public
743;General Ramirez;PLAC General RamÃ­rez.pdf;2022;Same - covers entire jurisdiction and nothing else;public
744;Delicias;AnÃ¡lisis de Riesgo y Vulnerabilidad ClimÃ¡tica;2023;Same - covers entire jurisdiction and nothing else;public
745;City of Flagstaff, AZ;Flagstaff Vulnerability Assessment_4-20-18.pdf;2018;Same - covers entire jurisdiction and nothing else;public
746;Itabashi; ; ;Same - covers entire jurisdiction and nothing else;public
747;City of Madrid;https://www.madrid.es/sites/v/index.jsp?vgnextrefresh=1&vgnextoid=0d76365608a05810VgnVCM1000001d4a900aRCRD;2023;Same - covers entire jurisdiction and nothing else;public
748;Manzanillo;https://drive.google.com/file/d/1vMKKPH5oL-m8wZuraVflblJPavYbYyO2/view?usp=sharing;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Incluye la provincia de Granma, donde se emplaza el municipio Manzanillo;public
749;City of Florence;https://ambiente.comune.fi.it/sites/ambiente.comune.fi.it/files/2019-11/Smart_City_Plan_it.pdf;2015;Same - covers entire jurisdiction and nothing else;public
750;West Midlands Combined Authority;https://www.sustainabilitywestmidlands.org.uk/wp-content/uploads/2022/11/West-Midlands-Climate-Change-Risk-Assmt-Adaptation-Plan-2021-26-Final.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This covers the entirety of the West Midlands, rather than just the WMCA 7 met area.;public
751;Mexico City;Ciudad Resiliente- Retrospectiva y ProyecciÃ³n de una Ciudad (In)Vulnerable _compressed.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: El estudio a pesar de ser elaborado por el Gobierno de la Ciudad de MÃ©xico, tambiÃ©n contempla la Zona Metropolitana del Valle de MÃ©xico, la cual estÃ¡ formada por 76 municipios de tres estados(Ciudad de MÃ©xico, Estado de MÃ©xico e Hidalgo);public
752;Hammersmith and Fulham London Borough Council;https://www.london.gov.uk/programmes-and-strategies/environment-and-climate-change/climate-change/climate-adaptation/climate-risk-map;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of London, including granular detail for boroughs and neighbourhoods;public
753;City of Philadelphia, PA;Philadelphia 2022 All-Hazard Mitigation Plan_FINAL.pdf;2022;Same - covers entire jurisdiction and nothing else;public
754;Municipality of Caldas da Rainha;PMAAC Caldas Rainha RelFase2.pdf;2023;Same - covers entire jurisdiction and nothing else;public
755;City of San JosÃ©, CA;https://www.sccfd.org/wp-content/uploads/documents/fire_prevention/CWPP/CWPP_Strategic_Countywide_Document_08_29_16.pdf;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This assessment is for the whole county.;public
756;Solihull Council;https://www.sustainabilitywestmidlands.org.uk/wp-content/uploads/2022/11/West-Midlands-Climate-Change-Risk-Assmt-Adaptation-Plan-2021-26-Final.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment is for the West Midlands of which Solihull is a part of, being 1 of the 7 core WM Combine Authorty members and 1 of the 32 West Midland Authorities.;public
757;Antananarivo;Note meÄ›thodologique_CR-AT2D-12122020.doc;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: zone grand Tana ou agglomÃ©rations des 32 communes;public
758;City of Berlin;https://www.berlin.de/sen/uvk/klimaschutz/anpassung-an-den-klimawandel/programm-zur-anpassung-an-die-folgen-des-klimawandels/;2016;Same - covers entire jurisdiction and nothing else;public
759;Municipalidad de La UniÃ³n; ;2019;Same - covers entire jurisdiction and nothing else;public
760;City of Omaha, NE;https://papiomitigation.org/;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers six (6) counties including Douglas County which includes the City of Omaha;public
761;Arlington, VA;Energy Assurance Plan;2023;Same - covers entire jurisdiction and nothing else;public
762;Birmingham City Council;http://maps.birmingham.gov.uk/webapps/CRVA/;2023;Same - covers entire jurisdiction and nothing else;public
763;City of Allentown, PA;Hazard Mitigation Master Plan Reduced.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers all of Lehigh County and Northampton County which includes 62 municipalities;public
764;New Plymouth District Council;ECM_8763448_v2_NPDC Climate Change Risk Assessment - Physical Risks Workbook.xlsx;2022;Same - covers entire jurisdiction and nothing else;public
765;City of Boston, MA;https://www.boston.gov/sites/default/files/file/2022/08/Coastal-Resilience-Solutions-for-East-Boston-and-Charlestown-Phase-II-August-2022.pdf;2022;Smaller - covers only part of the jurisdiction, please explain exclusions: Includes the neighborhood of Charlestown.;public
766;City of Manchester;https://storymaps.arcgis.com/stories/05808279555f42df99aad9a1cc180257;2023;Same - covers entire jurisdiction and nothing else;public
767;Prefeitura de CuiabÃ¡;https://www.legisweb.com.br/legislacao/?id=422087 , http://www.sema.mt.gov.br/site/index.php/carbono-neutro-mt#:~:text=Conhe%C3%A7a%20o%20Programa%20Carbono%20Neutro%20MT%20Para%20alcan%C3%A7ar,at%C3%A9%202030%20a%20redu%C3%A7%C3%A3o%20de%2080%25%20das%20emiss%C3%B5es.;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: A analise realizado pelo estado contempla a jurisdiÃ§Ã£o e outras que abrange o estado.;public
768;Municipality of GuimarÃ£es;PIAACAve.pdf;2020;"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Abrange toda a Comunidade Intermunicipal (CIM) do Ave, constituÃ­da pelos municÃ­pios: Cabeceiras de Basto	 Fafe	 GuimarÃ£es	 Mondim de Basto	 PÃ³voa de Lanhoso	 Vieira do Minho	 Vila Nova de FamalicÃ£o	 Vizela";public
769;Ã…tvidaberg Municipality;handlingsplan -for-okad-robusthet.pdf;2022;Same - covers entire jurisdiction and nothing else;public
770;Distrito Federal (BrasÃ­lia);https://www.sema.df.gov.br/wp-conteudo/uploads/2022/03/PLANO-ADAPTACAO-E-BOOK.pdf;2021;Same - covers entire jurisdiction and nothing else;public
771;Penampang District Council;PenampangDistrictCRVAReportv1.0.pdf;2020;Same - covers entire jurisdiction and nothing else;public
772;Hanoi City;qdub-5384-2021_signed.pdf;2021;Same - covers entire jurisdiction and nothing else;public
773;City of Mesa, AZ;MJHMP_Jurisdictional Summary_Mesa_2021.pdf;2021;"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: While the risk assessment was performed at the county level, the vulnerability assessment is specific to the City of Mesa level. See the ""Please Explain"" box for more information.";public
774;Municipality of Nijmegen;https://ruimtelijkeadaptatie.nl/@214972/regionale-adaptatie-strategie-rijk-maas-waal/;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: In the Netherlands it is obliged to work in regions on climate adaptation. In our region are 7 municipalities, the Water Association and the Province of Gelderland. Nijmegen is working on a local Climate Adaptation Strategy. Report fase 1 is added;public
775;Yamato City;https://www.city.yamato.lg.jp/material/files/group/24/Plan2020-30.pdf;2022;Same - covers entire jurisdiction and nothing else;public
776;Broward County, FL;http://www.southeastfloridaclimatecompact.org/wp-content/uploads/2014/09/vulnerability-assessment.pdf;2012;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: In addition to Broward County: Palm Beach County, Miami-Dade County, and Monroe County;public
777;ItagÃ¼Ã­;Se adjuntÃ³ documento;2020;Same - covers entire jurisdiction and nothing else;public
778;City of Salem, MA;https://www.salemma.gov/sites/g/files/vyhlif7986/f/uploads/appendix_c.pdf;2014;Same - covers entire jurisdiction and nothing else;public
779;Alcaldia de Pereira;Plan Municipal de GestiÃ³n del Riesgo;2022;Same - covers entire jurisdiction and nothing else;public
780;New Plymouth District Council;https://environment.govt.nz/publications/national-climate-change-risk-assessment-for-new-zealand-main-report/;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Climate change hazard projections for Aotearoa New Zealand provided by the Ministry for the Environment;public
781;City of Muntinlupa;CLUPPART4ClimateChangeandDisasterRisksProfile.2016.09.01.pdf, FINAL-VRA-TECHNICAL-REPORT.pdf, MECCAP Vulnerability Assessment.pdf;2017;Same - covers entire jurisdiction and nothing else;public
782;Jakarta City Government;Pergub No 90 Tahun 2021.pdf;2021;Same - covers entire jurisdiction and nothing else;public
783;Municipality of Saragossa (Spain);http://www.zaragoza.es/contenidos/medioambiente/adaptacion/PACCZ_documento-v030423.pdf;2023;Same - covers entire jurisdiction and nothing else;public
784;City of Beverly, MA;https://www.beverlyma.gov/184/Hazard-Mitigation-Plan;2018;Same - covers entire jurisdiction and nothing else;public
785;San Rafael, CA;220210 San Rafael climate change action plan 2030.pdf;2019;Same - covers entire jurisdiction and nothing else;public
786;City of San JosÃ©, CA;https://www.sanjoseca.gov/home/showpublisheddocument/82702/637818320822800000;2017;Same - covers entire jurisdiction and nothing else;public
787;Alcaldia de Pereira;EvaluaciÃ³n de la vulnerabilidad climÃ¡tica del sector agropecuario;2016;Same - covers entire jurisdiction and nothing else;public
788;Zhenjiang Municipal People's Government;http://sthj.zhenjiang.gov.cn/sthj/qyydqhdwhz/202210/5b53a8ef43b04fc5a8c5b948166b8bcb.shtml;2022;Same - covers entire jurisdiction and nothing else;public
789;City of Tumwater, WA;https://www.trpc.org/1026/Final-Plan;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Thurston County, which includes Tumwater;public
790;City of Knoxville, TN;Knox_County_Multi_Jurisdictional_Local_HMP 2-16-18.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Plan covers City of Knoxville, surrounding Knox County, and nearby Town of Farragut;public
791;Leeds City Council;ClimateAdaptationandResiliencePlan.pdf, ClimateAdaptationResiliencePlanReportAppendixA080722.pdf, ClimateAdaptationResiliencePlanReportAppendixB080722.pdf, ClimateAdaptationResiliencePlanReportAppendixC080722.pdf;2022;Same - covers entire jurisdiction and nothing else;public
792;Essex County Council;Essex_CRR_Public_Information_592fe6379ae7c.pdf;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Includes Thurrock and Southend-on-Sea Councils too.;public
793;City of Berkeley, CA;https://berkeleyca.gov/your-government/our-work/adopted-plans/berkeley-resilience-strategy;2016;Smaller - covers only part of the jurisdiction, please explain exclusions: Does not include UC Berkeley or the Berkeley Lab.;public
794;Municipalidad de Portoviejo;https://scioteca.caf.com/handle/123456789/1816;2021;Same - covers entire jurisdiction and nothing else;public
795;Can Tho City;https://eca-network.org/wp-content/uploads/2021/11/ExSummary_ECA_VIETNAM_FINAL.pdf;2021;Same - covers entire jurisdiction and nothing else;public
796;City of Matsuyama;æ¾å±±å¸‚å›½åœŸå¼·é­åŒ–åœ°åŸŸè¨ˆç”»ã€€https://www.city.matsuyama.ehime.jp/kurashi/bosai/bousai/keikaku/kokudokyoujinka.html;2020;Same - covers entire jurisdiction and nothing else;public
797;Segamat;Step 2-CDP_CRVA Segamat_FINAL.xlsx;2023;Same - covers entire jurisdiction and nothing else;public
798;Alcaldia de Rionegro;https://drive.google.com/file/d/1pUhjqTPjXrH-4-AWX9n_u5OvVetyMDsx/view?usp=sharing;2023;Same - covers entire jurisdiction and nothing else;public
799;City of Rochester, NY;https://www.cityofrochester.gov/CVA/;2018;Same - covers entire jurisdiction and nothing else;public
800;Quelimane Municipal Council;https://drive.google.com/file/d/1BPSp1xKJBQvHOkXJpzYMlWs8soEuUzaz/view?usp=sharing;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The impact assessment covers indeed the whole jurisdiction. It effectively captures the effects of most of the city climate change hazards.;public
801;Sunderland City Council;Northumbria_Community-Risk-Register-2021-2022.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The Northumbria Community Risk Register covers Sunderland as well as Northumberland, Newcastle, Gateshead, Durham, South Tyneside and North Tyneside;public
802;Municipio de QuerÃ©taro;ARV_DocFinal_compressed.pdf;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
803;Ville de Montreal, QC;https://montreal.ca/en/articles/montreal-climate-plan-objective-carbon-neutral-2050-7613;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Although the Climate Plan has been developed by the city, the other entities of the agglomeration of MontrÃ©al will act together with the city.;public
804;City of Boulder, CO;https://bouldercolorado.gov/media/2339/download?inline=;2007;Same - covers entire jurisdiction and nothing else;public
805;LuleÃ¥ Municipality;https://www.lulea.se/download/18.2b7bdc7f183d5df682e1fa38/1463996586742/Klimatanpassning%20i%20Lule%C3%A5%20kommun%20riktlinje.pdf;2015;Same - covers entire jurisdiction and nothing else;public
806;Newcastle City Council;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1047003/climate-change-risk-assessment-2022.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of the UK;public
807;City of Denizli;Denizli_CCAP_Final_FC_10_07.pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Denizli Metropolitan Municipality is a local authority. It endeavors to meet the joint needs and the environmental, social, spiritual and physical well-being of its citizens.;public
808;City of Toronto, ON;https://www.toronto.ca/legdocs/mmis/2023/ie/bgrd/backgroundfile-236773.pdf;2023;Same - covers entire jurisdiction and nothing else;public
809;New Plymouth District Council;Climate change projections and impacts for Taranaki (2).pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Climate change hazard assessment for the Taranaki region;public
810;City of Park City, UT;https://www.fs.usda.gov/treesearch/pubs/56101;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Intermountain region;public
811;AlcaldÃ­a Distrital de Santa Marta;https://www.santamarta.gov.co/sites/default/files/diagnotico_anexodimensionambiental.pdf;2020;Same - covers entire jurisdiction and nothing else;public
812;Manzanillo;https://drive.google.com/file/d/1Lt9ddVXRLt1lKNnHLujg9-X384iL99Qj/view?usp=sharing;2023;Same - covers entire jurisdiction and nothing else;public
813;City of Toronto, ON;https://www.toronto.ca/wp-content/uploads/2019/05/8e9a-2019-04-25_Flood-Resilient-Report.pdf;2019;Same - covers entire jurisdiction and nothing else;public
814;FanÃ¸ Municipality;Risk assessment related to heat.pdf;2023;Same - covers entire jurisdiction and nothing else;public
815;City of Fort Lauderdale, FL;https://www.parks.fortlauderdale.gov/parks/about-parks-and-recreation/master-plan;2016;Same - covers entire jurisdiction and nothing else;public
816;Derbyshire County Council;https://democracy.derbyshire.gov.uk/documents/s16461/Climate%20Change%20Risks%20Resilience%20and%20Adaptation.pdf;2013;Smaller - covers only part of the jurisdiction, please explain exclusions: Council services and functions. Opportunities for a collaborative county-wide or regional study are being explored through the Vision Derbyshire â€˜Living and Working Sustainablyâ€™ workstream and East Midlands Local Authority Climate Network.;public
817;Capital Municipality of Sofia;https://www.sofia.bg/documents/20121/675793/2023-03-09-6.+Annex+6_SECAP_Sofia_2021-2030-EN.pdf/ad86e568-9306-4871-f3fb-2e68d5ab952d;2021;Same - covers entire jurisdiction and nothing else;public
818;Arlington, VA;https://www.arlingtonva.us/Government/Projects/Plans-Studies/Environment/Storm-Sewer-Capacity-Study;2014;Same - covers entire jurisdiction and nothing else;public
819;City of Basel;BVD_Stadtklimakonzept_2-Auflage_WEB.pdf, Endbericht_Basel_Klimaanalyse_Rev09_ohne_Anhang.pdf;2023;Same - covers entire jurisdiction and nothing else;public
820;Bontang City;LAPORAN AKHIR MITIGASI DAN ADAPTASI 2020.pdf;2020;Same - covers entire jurisdiction and nothing else;public
821;Municipio de Santa Elena;agenda de reducciÃ³n de riesgosterremotos y tsunamis 2021.pdf;2021;Same - covers entire jurisdiction and nothing else;public
822;Municipio de San Jose;Plan Municipal de Respuesta San JosÃ¨.pdf;2021;Same - covers entire jurisdiction and nothing else;public
823;City of Stockholm;Risk and vulnerability assessment - Concequences of a 100-year rainfall;2022;Same - covers entire jurisdiction and nothing else;public
824;Municipality of Ãgueda;pom_2018_vp.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O estudo e plano cobre a totalidade da Ã¡rea concelhia, extrapolando o limite urbano da cidade de Ãgueda. Isto permite uma abordagem mais consistente e coerente face as medidas e aÃ§Ãµes a adotar e desenvolver no Ã¢mbito do tema do risco da floresta.;public
825;City of Windsor, ON;https://www.citywindsor.ca/residents/Construction/Environmental-Assessments-Master-Plans/Documents/Appendix_D_-_Technical_Report_Volume_I_-_Model_Development_-_November_2020.pdf;2020;Same - covers entire jurisdiction and nothing else;public
826;Municipalidad de BelÃ©n;Estudio de Servicios Ambientales Municipalida.pdf;2010;Same - covers entire jurisdiction and nothing else;public
827;Municipalidad de PeÃ±alolÃ©n;5. Riesgos de Peligros GeolÃ³gicos de Remociones en Masa en la Quebrada de Macul.pdf;2019;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de PeÃ±alolÃ©n. Incluye la principal cuenca de la comuna, abarcando comuna aledaÃ±a;public
828;Cuyahoga County, OH;https://www.countyplanning.us/projects/urban-tree-canopy-assessment/;2019;Same - covers entire jurisdiction and nothing else;public
829;Municipality of Amarante;EMAAC_Amarante_re.pdf;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Todo o territÃ³rio Municipal;public
830;Municipalidad de BelÃ©n;Anexo 4.2.1.8 Taller de gestiÃ³n de riesgos naturales y medidas de adaptaciÃ³n al cambio climÃ¡tico, .pdf;2016;Same - covers entire jurisdiction and nothing else;public
831;City of Burlington, ON;EICS-12-2022 - Appendix A Climate Resilient Burlington Plan.pdf;2022;Same - covers entire jurisdiction and nothing else;public
832;City of Toronto, ON;https://trca.ca/conservation/flood-risk-management/understand/;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries.;public
833;Municipalidad de PeÃ±alolÃ©n;4. Suceptbilidad de RemociÃ³n en Masa en la Quebrada de Macul, RM.pdf;2009;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de PeÃ±alolÃ©n. Incluye la principal cuenca de la comuna, abarcando comuna aledaÃ±a;public
834;YaoundÃ© 6; ;2018;Same - covers entire jurisdiction and nothing else;public
835;Intendencia de Canelones;Estrategia_Canaria_Accion_Climatica_2021.pdf;2021;Same - covers entire jurisdiction and nothing else;public
836;City of Matsuyama;ç¬¬2æœŸæ¾å±±å¸‚ç’°å¢ƒãƒ¢ãƒ‡ãƒ«éƒ½å¸‚è¡Œå‹•è¨ˆç”»ã€€https://www.city.matsuyama.ehime.jp/shisei/machizukuri/kankyoumodel/modelkeikaku.files/dainiki_honpen.pdf;2023;Same - covers entire jurisdiction and nothing else;public
837;City of Lucca;https://www.comune.lucca.it/PAC_2019_2021;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
838;Santiago de Guayaquil;Vulnerabilidad Guayaquil (1).pdf;2017;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Dentro del estudio realizado se priorizaron las Ã¡reas urbanas de la ciudad, que son las que se encuentran mÃ¡s densamente pobladas.;public
839;Municipio de San Jose;Diag_muni_San_JosÃ¨.pdf;2021;Same - covers entire jurisdiction and nothing else;public
840;City of San Francisco, CA;https://onesanfrancisco.org/hazard/overview;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers areas outside of county that have county assets (i.e, Hetch Hetchy water system);public
841;City of Boynton Beach, FL;https://discover.pbcgov.org/resilience/Documents/FINAL%20UPDATED-%20Climate%20Change%20Vulnerability%20Assessment%20Report.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The City of Boynton Beach signed an Interlocal Agreement in October 2019 with City of Boca Raton, City of Delray Beach, Town of Highland Beach, City of Lake Worth Beach, Town of Lantana, Town of Ocean Ridge, and Palm Beach County.;public
842;South Gloucestershire Council;UKHSA Climate and Health Mapping Tool Overview.docx;2023;Same - covers entire jurisdiction and nothing else;public
843;Arlington, VA;https://www.arlingtonva.us/Government/Projects/Plans-Studies/Water-Utilities/Water-Distribution-Master-Plan;2014;Same - covers entire jurisdiction and nothing else;public
844;City of Somerville, MA;https://www.somervillema.gov/sites/default/files/6-13-2017_Somerville%20CCVA%20Final%20Report.pdf;2017;Same - covers entire jurisdiction and nothing else;public
845;City of Indianapolis, IN;2018 Marion County MHMP rev May2019.pdf;2018;Same - covers entire jurisdiction and nothing else;public
846;Kota Kinabalu City Hall;https://iclei.org/activity/kk-gcap-kota-kinabalu-green-city-action-plan-12/?gclid=CjwKCAjw5remBhBiEiwAxL2M909NfiBnkMjX_B_semT4cXzWtHjCWrqFuB7DKAyIfEPgA4dBnkMrABoCEE0QAvD_BwE;2019;Same - covers entire jurisdiction and nothing else;public
847;City of MalmÃ¶;MN-2022-4553-2023_01_31_SÃ¥rbarhetsanalys.pdf;2023;Same - covers entire jurisdiction and nothing else;public
848;Municipalidad Provincial de Huamanga; ;2023;Same - covers entire jurisdiction and nothing else;public
849;Ã‡orlu Belediyesi;SECAP_SON.pdf;2023;Same - covers entire jurisdiction and nothing else;public
850;City of Baltimore, MD;2018-DP3.pdf;2018;Same - covers entire jurisdiction and nothing else;public
851;Town of Breckenridge, CO;Summit County HMP Update_2020_Final_202009301225579225.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the entirety of Summit County, but has subsections for each jurisdiction, including one specific to Breckenridge.;public
852;Petaling Jaya City Council;https://www.preventionweb.net/publication/disaster-risk-report-understanding-landslides-and-flood-risks-science-based-disaster;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
853;City of Boca Raton, FL;https://discover.pbcgov.org/resilience/Pages/Partnerships/CoastalResiliencePartnership.aspx;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment was done regionally so covers the entire jurisdiction and others.;public
854;Municipality of Ambato;ESTIMACIÃ“N DE RIESGO CLIMATICO.pdf;2020;Same - covers entire jurisdiction and nothing else;public
855;City of Toronto, ON;"https://pievc.ca/ see tab ""The Protocol"", then click ""Assessments"" and search for studies that were done in Ontario	 various reports mention Toronto.";2012;Smaller - covers only part of the jurisdiction, please explain exclusions: Multiple reports prepared using the PIEVC (see explanation) for projects and areas within the jurisdiction of Toronto.;public
856;Fukuoka City;ç¦å²¡å¸‚åœ°çƒæ¸©æš–åŒ–å¯¾ç­–å®Ÿè¡Œè¨ˆç”»ï¼ˆé©å¿œç­–P89ï½žP94)ã€€https://www.city.fukuoka.lg.jp/data/open/cnt/3/97851/1/keikakuzenntai.pdf?20221121165028;2022;Same - covers entire jurisdiction and nothing else;public
857;Empedrado;PLAC Empedrado.pdf;2022;Same - covers entire jurisdiction and nothing else;public
858;Government of the City of Yogyakarta;Lampiran Laporan Akhir.pdf, Laporan Akhir GRK_Jogja.pdf, Laporan Akhir IE Kota Yogyakarta.pdf; ; ;public
